epoch,train_ll,val_ll,train_s,val_s
190,-254.1988,-297.8261,1.24,0.04
191,-253.9857,-297.5411,1.24,0.04
192,-253.8736,-297.4470,1.24,0.04
193,-253.9849,-297.3813,1.24,0.05
194,-253.7009,-297.3594,1.24,0.04
195,-253.2592,-297.0966,1.25,0.04
196,-253.4014,-297.0534,1.24,0.04
197,-253.2441,-296.7326,1.24,0.04
198,-253.1845,-296.7507,1.23,0.04
199,-252.6854,-296.7173,1.23,0.04
200,-252.6975,-296.5096,1.23,0.04
201,-252.8737,-296.5922,1.24,0.04
202,-252.4401,-296.3933,1.23,0.04
203,-252.4182,-296.2889,1.24,0.04
204,-252.0529,-296.1503,1.24,0.04
205,-251.8993,-296.0199,1.25,0.04
206,-251.8368,-295.9386,1.25,0.04
207,-251.8034,-295.9430,1.24,0.04
208,-251.5994,-295.7982,1.23,0.04
209,-251.5095,-295.7628,1.25,0.04
210,-251.3960,-295.5881,1.24,0.04
211,-251.1285,-295.4048,1.24,0.04
212,-251.0768,-295.2785,1.25,0.04
213,-250.7118,-295.0706,1.24,0.04
214,-250.5070,-294.9563,1.24,0.04
215,-250.5756,-294.7561,1.24,0.04
216,-250.5496,-294.6666,1.24,0.04
217,-250.0911,-294.5957,1.24,0.04
218,-250.1019,-294.6963,1.47,0.04
219,-249.8708,-294.5079,1.23,0.04
220,-250.1666,-294.5038,1.24,0.05
221,-249.8230,-294.3292,1.25,0.04
222,-249.6125,-294.2400,1.24,0.04
223,-249.7821,-294.1853,1.25,0.05
224,-249.4499,-293.9400,1.25,0.04
225,-249.5225,-293.9062,1.24,0.04
226,-249.4638,-293.8352,1.23,0.04
227,-249.1539,-293.7293,1.24,0.04
228,-249.1068,-293.5240,1.24,0.04
229,-249.0570,-293.5118,1.23,0.04
230,-248.9255,-293.4657,1.24,0.04
231,-248.6818,-293.2765,1.24,0.04
232,-248.7372,-293.3398,1.23,0.04
233,-248.3280,-293.2891,1.22,0.04
234,-248.5161,-293.2610,1.22,0.04
235,-248.6598,-293.3156,1.24,0.04
236,-248.2464,-293.2245,1.23,0.04
237,-248.0789,-293.0420,1.24,0.04
238,-248.1377,-293.0539,1.24,0.04
239,-248.0005,-292.8966,1.23,0.04
240,-247.9462,-292.7906,1.25,0.04
241,-248.0775,-292.8450,1.24,0.04
242,-247.6745,-292.7779,1.47,0.04
243,-247.7520,-292.7492,1.25,0.04
244,-247.6965,-292.6462,1.24,0.04
245,-247.5148,-292.6900,1.24,0.04
246,-247.4512,-292.4963,1.23,0.04
247,-247.4672,-292.3524,1.24,0.04
248,-247.4834,-292.4555,1.25,0.04
249,-247.1948,-292.2400,1.23,0.04
250,-247.0998,-292.0423,1.25,0.04
251,-246.7573,-291.7932,1.48,0.04
252,-246.6369,-291.8086,1.25,0.04
253,-246.5185,-291.6731,1.23,0.04
254,-246.5613,-291.5454,1.24,0.04
255,-246.2825,-291.3776,1.24,0.04
256,-246.1658,-291.4476,1.24,0.04
257,-246.1657,-291.1986,1.23,0.04
258,-245.9963,-291.2167,1.24,0.04
259,-245.9064,-291.1391,1.24,0.05
260,-246.0049,-291.0090,1.25,0.04
261,-245.5795,-291.1702,1.46,0.04
262,-245.4545,-291.0259,1.23,0.04
263,-245.6256,-291.1996,1.23,0.04
264,-245.4395,-291.0178,1.23,0.04
265,-245.4522,-291.0279,1.23,0.04
266,-245.1413,-290.9145,1.23,0.04
267,-245.2391,-290.9818,1.24,0.04
268,-245.1055,-290.8532,1.24,0.04
269,-244.9871,-290.8569,1.24,0.04
270,-244.9866,-290.7097,1.23,0.04
271,-244.9850,-290.6537,1.24,0.04
272,-244.9409,-290.6188,1.25,0.04
273,-244.6633,-290.5321,1.24,0.04
274,-244.5925,-290.5152,1.24,0.04
275,-244.3693,-290.4561,1.25,0.04
276,-244.0244,-290.4216,1.24,0.04
277,-244.1033,-290.3590,1.24,0.04
278,-244.0060,-290.2717,1.25,0.04
279,-243.7998,-290.2341,1.24,0.05
280,-244.0288,-290.0084,1.24,0.04
281,-243.8738,-290.1214,1.25,0.04
282,-243.7301,-289.9184,1.23,0.04
283,-243.5365,-289.8714,1.23,0.04
284,-243.4589,-289.8872,1.24,0.04
285,-243.3269,-289.6450,1.23,0.04
286,-243.1587,-289.7287,1.24,0.04
287,-243.2744,-289.5892,1.23,0.04
288,-242.9977,-289.5783,1.24,0.04
289,-242.9712,-289.5088,1.24,0.04
290,-242.9873,-289.3786,1.24,0.04
291,-242.7704,-289.3280,1.25,0.05
292,-242.7219,-289.2931,1.25,0.04
293,-242.5671,-289.3056,1.26,0.04
294,-242.6774,-289.3958,1.24,0.04
295,-242.5843,-289.1116,1.24,0.04
296,-242.5711,-289.0731,1.25,0.04
297,-242.6143,-289.0641,1.25,0.04
298,-242.5611,-289.0621,1.25,0.04
299,-242.4111,-289.0541,1.24,0.04
300,-242.2988,-289.0660,1.26,0.04
301,-242.3194,-289.0185,1.23,0.04
302,-242.2217,-288.9127,1.24,0.04
303,-242.2907,-288.9828,1.24,0.04
304,-242.4115,-288.8662,1.23,0.04
305,-242.0076,-288.8257,1.25,0.04
306,-241.8477,-288.7124,1.25,0.04
307,-241.8934,-288.8379,1.24,0.04
308,-241.9613,-288.7752,1.23,0.04
309,-241.7328,-288.7888,1.24,0.04
310,-241.6801,-288.7037,1.23,0.04
311,-241.8015,-288.6554,1.24,0.04
312,-241.5129,-288.6913,1.24,0.04
313,-241.5796,-288.6187,1.23,0.04
314,-241.5947,-288.6472,1.24,0.04
315,-241.5124,-288.7455,1.23,0.04
316,-241.6890,-288.5430,1.23,0.04
317,-241.6573,-288.5557,1.24,0.04
318,-241.3060,-288.5179,1.23,0.04
319,-241.2542,-288.5211,1.25,0.04
320,-241.2075,-288.4862,1.24,0.05
321,-241.2905,-288.3788,1.24,0.04
322,-240.9497,-288.2819,1.24,0.04
323,-240.9015,-288.2088,1.24,0.05
324,-241.0292,-288.1592,1.24,0.04
325,-241.0455,-288.1232,1.23,0.04
326,-240.9257,-288.2020,1.24,0.04
327,-241.0055,-288.1672,1.23,0.04
328,-240.5652,-288.2620,1.23,0.04
329,-240.7319,-288.0089,1.23,0.04
330,-240.6814,-288.0448,1.24,0.04
331,-240.6260,-287.9684,1.23,0.04
332,-240.5355,-288.0396,1.24,0.04
333,-240.3565,-287.9159,1.23,0.04
334,-240.4539,-287.7332,1.25,0.04
335,-240.3260,-287.7424,1.24,0.04
336,-240.2918,-287.6353,1.24,0.04
337,-240.3671,-287.7451,1.24,0.04
338,-240.4495,-287.6138,1.23,0.04
339,-240.2322,-287.5496,1.25,0.04
340,-240.0491,-287.7107,1.25,0.04
341,-239.9121,-287.6951,1.23,0.04
342,-239.9139,-287.7455,1.23,0.04
343,-240.2820,-287.5264,1.23,0.04
344,-239.9533,-287.5578,1.24,0.04
345,-239.8802,-287.5307,1.24,0.04
346,-239.7469,-287.2572,1.24,0.04
347,-239.7285,-287.2336,1.24,0.04
348,-239.6352,-287.2648,1.25,0.04
349,-239.5223,-287.0603,1.24,0.04
350,-239.2854,-287.2965,1.25,0.04
351,-239.3462,-287.0778,1.24,0.04
352,-239.3106,-287.0967,1.24,0.04
353,-239.0250,-287.0695,1.24,0.04
354,-239.0525,-286.9375,1.23,0.04
355,-238.9383,-287.0021,1.25,0.04
356,-239.1672,-287.0240,1.24,0.04
357,-238.8151,-286.7270,1.24,0.04
358,-238.9066,-286.7593,1.24,0.04
359,-238.6964,-286.8182,1.24,0.04
360,-238.6897,-286.6479,1.24,0.05
361,-238.6560,-286.7717,1.24,0.04
362,-238.5897,-286.6752,1.23,0.04
363,-238.7233,-286.5075,1.24,0.05
364,-238.4902,-286.5751,1.25,0.05
365,-238.2775,-286.4460,1.24,0.05
366,-238.2496,-286.5758,1.24,0.04
367,-238.2264,-286.4266,1.24,0.04
368,-238.0853,-286.3218,1.24,0.04
369,-238.1193,-286.1691,1.24,0.04
370,-238.1013,-286.1384,1.25,0.04
371,-237.8920,-286.3229,1.24,0.04
372,-237.8718,-286.2896,1.23,0.05
373,-238.0436,-286.3341,1.24,0.04
374,-237.8714,-286.3036,1.23,0.04
375,-237.9353,-286.2894,1.23,0.04
376,-237.8983,-286.2364,1.23,0.04
377,-237.8793,-286.1974,1.23,0.04
378,-237.7720,-286.2526,1.24,0.04
379,-238.0037,-286.2308,1.23,0.05
380,-237.8515,-286.0113,1.23,0.04
381,-237.6689,-286.0998,1.25,0.04
382,-237.6933,-286.1212,1.24,0.04
383,-237.5024,-286.1201,1.24,0.04
384,-237.7393,-285.9751,1.24,0.04
385,-237.4792,-285.8896,1.24,0.04
386,-237.5788,-285.8218,1.24,0.04
387,-237.5047,-285.9706,1.25,0.04
388,-237.7055,-285.8977,1.24,0.04
389,-237.3312,-285.8826,1.23,0.04
390,-237.1444,-285.8244,1.24,0.04
391,-237.1886,-285.8713,1.24,0.04
392,-237.2587,-285.8288,1.24,0.04
393,-237.4927,-285.7438,1.23,0.04
394,-237.5340,-285.7444,1.24,0.04
395,-237.3175,-285.5606,1.24,0.04
396,-237.2499,-285.6295,1.24,0.04
397,-237.0442,-285.7292,1.24,0.05
398,-236.7876,-285.6894,1.23,0.05
399,-236.8010,-285.7213,1.24,0.04
400,-236.9148,-285.7645,1.24,0.04
401,-236.9801,-285.8869,1.24,0.04
402,-236.7289,-285.5760,1.24,0.04
403,-236.6605,-285.5197,1.24,0.04
404,-236.5422,-285.4773,1.25,0.04
405,-236.2827,-285.4924,1.23,0.04
406,-236.2745,-285.4541,1.23,0.04
407,-236.2368,-285.2575,1.24,0.04
408,-236.3198,-285.5131,1.25,0.04
409,-236.1403,-285.1741,1.23,0.04
410,-236.2170,-285.0353,1.24,0.05
411,-236.3344,-284.9814,1.24,0.04
412,-235.8507,-284.8432,1.24,0.04
413,-236.1257,-284.8581,1.24,0.04
414,-236.0350,-284.9205,1.23,0.04
415,-235.7846,-284.7348,1.24,0.04
416,-235.5591,-284.7135,1.24,0.04
417,-235.7508,-284.7691,1.24,0.04
418,-235.6958,-284.7615,1.23,0.04
419,-235.4768,-284.7849,1.24,0.04
420,-235.5457,-284.6259,1.23,0.04
421,-235.7192,-284.6986,1.24,0.04
422,-235.5242,-284.5563,1.23,0.04
423,-235.2588,-284.3103,1.25,0.04
424,-235.3189,-284.4609,1.25,0.04
425,-235.1385,-284.3467,1.24,0.04
426,-235.1544,-284.1682,1.23,0.04
427,-234.9257,-284.3092,1.24,0.04
428,-234.9329,-284.2498,1.23,0.04
429,-234.9254,-284.1462,1.24,0.04
430,-235.0114,-284.2421,1.24,0.04
431,-234.9706,-284.1111,1.23,0.04
432,-234.8449,-283.9957,1.24,0.04
433,-234.8473,-283.9607,1.24,0.04
434,-234.9782,-283.9332,1.24,0.04
435,-234.7924,-283.8635,1.24,0.04
436,-234.8364,-283.9541,1.26,0.04
437,-234.7355,-283.8489,1.24,0.04
438,-234.6375,-284.0271,1.25,0.04
439,-234.8198,-283.8135,1.24,0.04
440,-234.6261,-283.8497,1.24,0.04
441,-234.4363,-283.6944,1.24,0.04
442,-234.5356,-283.7422,1.25,0.04
443,-234.4108,-283.8545,1.23,0.04
444,-234.3726,-283.6909,1.23,0.04
445,-234.4681,-283.4951,1.25,0.04
446,-234.2608,-283.4552,1.25,0.04
447,-234.3055,-283.4598,1.24,0.04
448,-234.1667,-283.4995,1.24,0.04
449,-233.8561,-283.4259,1.23,0.04
450,-233.9239,-283.2336,1.25,0.04
451,-233.9014,-283.1617,1.25,0.04
452,-233.8292,-283.2328,1.24,0.05
453,-233.8986,-282.9595,1.23,0.04
454,-233.4354,-282.7773,1.24,0.04
455,-233.3667,-282.8663,1.24,0.04
456,-233.4269,-282.7316,1.23,0.04
457,-233.3164,-282.7082,1.24,0.05
458,-233.4621,-282.6145,1.25,0.04
459,-233.3430,-282.6292,1.25,0.04
460,-233.1394,-282.5308,1.46,0.04
461,-233.0130,-282.4213,1.25,0.04
462,-233.1554,-282.4436,1.25,0.04
463,-232.9295,-282.4731,1.23,0.04
464,-232.8374,-282.3179,1.23,0.04
465,-232.8388,-282.4197,1.26,0.05
466,-232.9143,-282.2787,1.23,0.04
467,-232.7287,-282.2370,1.25,0.04
468,-232.7878,-282.2605,1.25,0.04
469,-232.8117,-282.2975,1.23,0.05
470,-232.7670,-282.1697,1.24,0.04
471,-232.6706,-282.1025,1.24,0.04
472,-232.8522,-282.0559,1.24,0.04
473,-232.5332,-282.0635,1.25,0.04
474,-232.5408,-282.1135,1.23,0.04
475,-232.8211,-282.0806,1.24,0.05
476,-232.3590,-282.0572,1.23,0.04
477,-232.3320,-281.8779,1.24,0.04
478,-232.4262,-281.9283,1.25,0.04
479,-232.3964,-281.8418,1.24,0.04
480,-232.6167,-281.8112,1.25,0.04
481,-232.2628,-281.8529,1.24,0.04
482,-232.4628,-281.7402,1.23,0.04
483,-232.3468,-281.7574,1.24,0.04
484,-232.2355,-281.8978,1.23,0.04
485,-232.2863,-281.8255,1.23,0.04
486,-232.2736,-281.8890,1.23,0.04
487,-232.2184,-281.9331,1.24,0.04
488,-232.2783,-281.9423,1.23,0.04
489,-232.2118,-281.7823,1.24,0.04
490,-232.3480,-281.7500,1.24,0.04
491,-232.0711,-281.7002,1.24,0.04
492,-232.0462,-281.7931,1.24,0.04
493,-231.9195,-281.8399,1.23,0.04
494,-232.0683,-281.7518,1.24,0.04
495,-231.9022,-281.5957,1.23,0.05
496,-231.9789,-281.7276,1.24,0.04
497,-231.6773,-281.5870,1.23,0.04
498,-231.6652,-281.5819,1.24,0.04
499,-231.8387,-281.5458,1.25,0.05
500,-231.7936,-281.6206,1.24,0.04
501,-231.7267,-281.6125,1.23,0.04
502,-231.7951,-281.5345,1.23,0.05
503,-231.8199,-281.5578,1.24,0.04
504,-231.5713,-281.4389,1.23,0.04
505,-231.5998,-281.4594,1.24,0.04
506,-231.6921,-281.3063,1.24,0.04
507,-231.2567,-281.2386,1.24,0.04
508,-231.4717,-281.2108,1.25,0.05
509,-231.5088,-281.0824,1.24,0.04
510,-231.2915,-281.1206,1.24,0.04
511,-231.2773,-281.0100,1.24,0.05
512,-231.2122,-281.0592,1.24,0.04
513,-231.2181,-281.1432,1.22,0.04
514,-231.1213,-281.1738,1.23,0.04
515,-231.3697,-281.0590,1.23,0.04
516,-231.0653,-281.0579,1.23,0.05
517,-231.3617,-281.2026,1.23,0.04
518,-230.9394,-281.2609,1.23,0.04
519,-231.0309,-281.1629,1.23,0.04
520,-230.9664,-281.0768,1.24,0.05
521,-230.9758,-281.0906,1.23,0.04
522,-230.9243,-281.0060,1.24,0.05
523,-230.8609,-281.0280,1.25,0.05
524,-231.0286,-280.9757,1.25,0.04
525,-230.9482,-281.1379,1.24,0.04
526,-230.8520,-280.9763,1.23,0.04
527,-230.7968,-280.9783,1.23,0.04
528,-230.9978,-281.0825,1.23,0.04
529,-230.8375,-281.0098,1.24,0.04
530,-230.9447,-281.0678,1.23,0.05
531,-230.7813,-281.0716,1.23,0.05
532,-230.7788,-280.9854,1.23,0.04
533,-230.8482,-280.9297,1.23,0.04
534,-231.0085,-280.9406,1.25,0.04
535,-230.8921,-280.8327,1.23,0.04
536,-230.6926,-280.9342,1.23,0.04
537,-230.6105,-281.0582,1.23,0.04
538,-230.7152,-280.9340,1.23,0.04
539,-230.6350,-280.8961,1.24,0.04
540,-230.8174,-280.9001,1.23,0.04
541,-230.6242,-280.9481,1.24,0.04
542,-230.5293,-280.8150,1.24,0.04
543,-230.4125,-280.8884,1.25,0.04
544,-230.5005,-280.8695,1.24,0.04
545,-230.5799,-280.8366,1.24,0.04
546,-230.3875,-280.9151,1.24,0.04
547,-230.2199,-280.9297,1.24,0.04
548,-230.1685,-280.7635,1.23,0.04
549,-230.4826,-280.7695,1.25,0.04
550,-230.2297,-280.8028,1.24,0.04
551,-230.2095,-280.6711,1.24,0.05
552,-230.1918,-280.7067,1.24,0.04
553,-230.4570,-280.7843,1.24,0.04
554,-230.1672,-280.7312,1.24,0.04
555,-230.1041,-280.6954,1.24,0.04
556,-230.0332,-280.7399,1.24,0.04
557,-230.1363,-280.7553,1.24,0.04
558,-230.0534,-280.8419,1.24,0.04
559,-230.1029,-280.8223,1.24,0.04
560,-229.8575,-280.9483,1.24,0.05
561,-230.0366,-280.7501,1.24,0.04
562,-229.8584,-280.6751,1.24,0.05
563,-229.9502,-280.6329,1.24,0.05
564,-230.2273,-280.6604,1.24,0.05
565,-229.8901,-280.5322,1.23,0.04
566,-229.9734,-280.6413,1.25,0.05
567,-229.8988,-280.5621,1.23,0.04
568,-229.8333,-280.7614,1.23,0.04
569,-229.8483,-280.5782,1.24,0.05
570,-229.7958,-280.6384,1.24,0.04
571,-229.7445,-280.5739,1.24,0.04
572,-229.7915,-280.5207,1.24,0.04
573,-229.7392,-280.4695,1.25,0.04
574,-229.8304,-280.4345,1.24,0.04
575,-229.6672,-280.4521,1.24,0.04
576,-229.5486,-280.4933,1.23,0.04
577,-229.7289,-280.4618,1.23,0.04
578,-229.7660,-280.5913,1.23,0.04
579,-229.7259,-280.4003,1.23,0.04
580,-229.6230,-280.3840,1.23,0.04
581,-229.6668,-280.3826,1.23,0.04
582,-229.3486,-280.3528,1.25,0.04
583,-229.4643,-280.3455,1.25,0.04
584,-229.5458,-280.2428,1.24,0.04
585,-229.2646,-280.2326,1.24,0.04
586,-229.4019,-280.3095,1.25,0.04
587,-229.3118,-280.1910,1.23,0.04
588,-229.3201,-280.1833,1.24,0.04
589,-229.3601,-280.1593,1.24,0.04
590,-229.3862,-280.1634,1.24,0.04
591,-229.2421,-280.1953,1.23,0.04
592,-229.0717,-280.2808,1.23,0.04
593,-229.2699,-280.1308,1.23,0.04
594,-229.1887,-280.1699,1.25,0.04
595,-229.1628,-280.1977,1.23,0.04
596,-229.2119,-280.2480,1.23,0.04
597,-229.1327,-280.4328,1.23,0.04
598,-229.1379,-280.3320,1.23,0.04
599,-229.1648,-280.2232,1.23,0.04
600,-229.0703,-280.3642,1.23,0.04
601,-229.0681,-280.1622,1.24,0.04
602,-229.1854,-280.1243,1.23,0.04
603,-228.9115,-280.2203,1.24,0.04
604,-229.1915,-280.0194,1.24,0.04
605,-228.9756,-280.2891,1.24,0.04
606,-228.8271,-280.1964,1.23,0.04
607,-228.7852,-280.1953,1.23,0.04
608,-229.0479,-280.1969,1.24,0.04
609,-228.8359,-280.0153,1.24,0.04
610,-229.0891,-280.0868,1.25,0.04
611,-228.8627,-280.0976,1.23,0.04
612,-228.8264,-280.0108,1.23,0.04
613,-228.9436,-279.9301,1.24,0.04
614,-228.8737,-279.8173,1.24,0.04
615,-228.7766,-279.8126,1.24,0.04
616,-228.5235,-279.8643,1.24,0.04
617,-228.7409,-279.8418,1.24,0.04
618,-228.7319,-279.7888,1.23,0.04
619,-228.6190,-279.8129,1.25,0.04
620,-228.6499,-279.6845,1.24,0.04
621,-228.4765,-279.6663,1.24,0.04
622,-228.3726,-279.6369,1.24,0.04
623,-228.3176,-279.6300,1.25,0.04
624,-228.3571,-279.5961,1.24,0.04
625,-228.3407,-279.5446,1.24,0.04
626,-228.2437,-279.5644,1.24,0.04
627,-228.3317,-279.5397,1.24,0.04
628,-228.1523,-279.5064,1.24,0.05
629,-228.1776,-279.4871,1.24,0.04
630,-228.1438,-279.4394,1.25,0.04
631,-228.1457,-279.4691,1.24,0.05
632,-227.9210,-279.6604,1.23,0.04
633,-228.1016,-279.4484,1.23,0.04
