[Epoch 138/5000][train LL: -245.64; val LL: -275.30].....[train forward+backward+step 9.30; val forward 0.62]
[Epoch 139/5000][train LL: -244.12; val LL: -275.32].....[train forward+backward+step 9.45; val forward 0.61]
[Epoch 140/5000][train LL: -243.59; val LL: -274.96].....[train forward+backward+step 9.22; val forward 0.62]
[Epoch 141/5000][train LL: -243.56; val LL: -274.81].....[train forward+backward+step 9.77; val forward 0.62]
[Epoch 142/5000][train LL: -244.07; val LL: -274.60].....[train forward+backward+step 9.47; val forward 0.64]
[Epoch 143/5000][train LL: -243.32; val LL: -274.21].....[train forward+backward+step 9.52; val forward 0.63]
[Epoch 144/5000][train LL: -243.07; val LL: -273.75].....[train forward+backward+step 9.34; val forward 0.61]
[Epoch 145/5000][train LL: -243.40; val LL: -273.54].....[train forward+backward+step 9.73; val forward 0.68]
[Epoch 146/5000][train LL: -242.95; val LL: -273.24].....[train forward+backward+step 9.32; val forward 0.61]
[Epoch 147/5000][train LL: -242.98; val LL: -272.96].....[train forward+backward+step 9.29; val forward 0.63]
[Epoch 148/5000][train LL: -241.65; val LL: -272.31].....[train forward+backward+step 9.32; val forward 0.62]
[Epoch 149/5000][train LL: -242.00; val LL: -272.01].....[train forward+backward+step 9.31; val forward 0.62]
[Epoch 150/5000][train LL: -239.67; val LL: -271.99].....[train forward+backward+step 9.36; val forward 0.61]
[Epoch 151/5000][train LL: -241.30; val LL: -271.75].....[train forward+backward+step 9.34; val forward 0.61]
[Epoch 152/5000][train LL: -242.69; val LL: -271.74].....[train forward+backward+step 9.54; val forward 0.66]
[Epoch 153/5000][train LL: -239.81; val LL: -271.28].....[train forward+backward+step 9.52; val forward 0.62]
[Epoch 154/5000][train LL: -240.61; val LL: -271.30].....[train forward+backward+step 9.45; val forward 0.61]
[Epoch 155/5000][train LL: -241.10; val LL: -271.07].....[train forward+backward+step 9.41; val forward 0.63]
[Epoch 156/5000][train LL: -242.64; val LL: -271.03].....[train forward+backward+step 9.73; val forward 0.61]
[Epoch 157/5000][train LL: -241.15; val LL: -270.57].....[train forward+backward+step 9.80; val forward 0.62]
[Epoch 158/5000][train LL: -239.92; val LL: -269.94].....[train forward+backward+step 9.60; val forward 0.61]
[Epoch 159/5000][train LL: -240.50; val LL: -269.77].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 160/5000][train LL: -238.94; val LL: -269.52].....[train forward+backward+step 9.47; val forward 0.64]
[Epoch 161/5000][train LL: -239.68; val LL: -269.46].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 162/5000][train LL: -241.79; val LL: -269.45].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 163/5000][train LL: -237.99; val LL: -269.01].....[train forward+backward+step 9.43; val forward 0.65]
[Epoch 164/5000][train LL: -240.27; val LL: -269.08].....[train forward+backward+step 9.57; val forward 0.62]
[Epoch 165/5000][train LL: -238.38; val LL: -268.96].....[train forward+backward+step 9.50; val forward 0.62]
[Epoch 166/5000][train LL: -239.47; val LL: -268.50].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 167/5000][train LL: -238.45; val LL: -268.63].....[train forward+backward+step 9.41; val forward 0.62]
[Epoch 168/5000][train LL: -239.65; val LL: -268.44].....[train forward+backward+step 9.40; val forward 0.62]
[Epoch 169/5000][train LL: -236.45; val LL: -268.15].....[train forward+backward+step 9.39; val forward 0.63]
[Epoch 170/5000][train LL: -239.60; val LL: -267.93].....[train forward+backward+step 9.46; val forward 0.61]
[Epoch 171/5000][train LL: -235.32; val LL: -267.50].....[train forward+backward+step 9.67; val forward 0.61]
