[Epoch 107/5000][train LL: -248.36; val LL: -244.30].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 108/5000][train LL: -247.85; val LL: -244.02].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 109/5000][train LL: -247.39; val LL: -243.75].....[train forward+backward+step 5.43; val forward 0.22]
[Epoch 110/5000][train LL: -247.31; val LL: -243.56].....[train forward+backward+step 5.44; val forward 0.22]
[Epoch 111/5000][train LL: -247.03; val LL: -243.32].....[train forward+backward+step 5.43; val forward 0.22]
[Epoch 112/5000][train LL: -246.78; val LL: -242.94].....[train forward+backward+step 5.47; val forward 0.22]
[Epoch 113/5000][train LL: -246.86; val LL: -242.66].....[train forward+backward+step 5.46; val forward 0.22]
[Epoch 114/5000][train LL: -245.70; val LL: -242.29].....[train forward+backward+step 5.45; val forward 0.23]
[Epoch 115/5000][train LL: -245.80; val LL: -241.87].....[train forward+backward+step 5.42; val forward 0.22]
[Epoch 116/5000][train LL: -244.97; val LL: -241.34].....[train forward+backward+step 5.42; val forward 0.22]
[Epoch 117/5000][train LL: -244.90; val LL: -240.86].....[train forward+backward+step 5.46; val forward 0.22]
[Epoch 118/5000][train LL: -244.39; val LL: -240.29].....[train forward+backward+step 5.46; val forward 0.22]
[Epoch 119/5000][train LL: -243.93; val LL: -239.79].....[train forward+backward+step 5.42; val forward 0.22]
[Epoch 120/5000][train LL: -243.03; val LL: -239.31].....[train forward+backward+step 5.46; val forward 0.22]
[Epoch 121/5000][train LL: -242.92; val LL: -238.91].....[train forward+backward+step 5.44; val forward 0.22]
[Epoch 122/5000][train LL: -242.04; val LL: -238.55].....[train forward+backward+step 5.47; val forward 0.22]
[Epoch 123/5000][train LL: -241.51; val LL: -238.20].....[train forward+backward+step 5.44; val forward 0.22]
[Epoch 124/5000][train LL: -241.48; val LL: -237.88].....[train forward+backward+step 5.43; val forward 0.23]
[Epoch 125/5000][train LL: -241.26; val LL: -237.49].....[train forward+backward+step 5.45; val forward 0.22]
[Epoch 126/5000][train LL: -240.41; val LL: -237.13].....[train forward+backward+step 5.44; val forward 0.23]
[Epoch 127/5000][train LL: -240.38; val LL: -236.85].....[train forward+backward+step 5.49; val forward 0.23]
[Epoch 128/5000][train LL: -240.01; val LL: -236.59].....[train forward+backward+step 5.48; val forward 0.22]
[Epoch 129/5000][train LL: -239.96; val LL: -236.32].....[train forward+backward+step 5.46; val forward 0.22]
[Epoch 130/5000][train LL: -239.66; val LL: -236.22].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 131/5000][train LL: -239.31; val LL: -235.96].....[train forward+backward+step 5.39; val forward 0.22]
[Epoch 132/5000][train LL: -239.43; val LL: -235.79].....[train forward+backward+step 5.45; val forward 0.22]
[Epoch 133/5000][train LL: -238.68; val LL: -235.52].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 134/5000][train LL: -238.89; val LL: -235.30].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 135/5000][train LL: -239.18; val LL: -235.17].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 136/5000][train LL: -238.31; val LL: -234.84].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 137/5000][train LL: -238.06; val LL: -234.62].....[train forward+backward+step 5.34; val forward 0.23]
[Epoch 138/5000][train LL: -237.73; val LL: -234.42].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 139/5000][train LL: -237.93; val LL: -234.28].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 140/5000][train LL: -237.01; val LL: -234.03].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 141/5000][train LL: -237.29; val LL: -233.87].....[train forward+backward+step 5.35; val forward 0.23]
[Epoch 142/5000][train LL: -237.45; val LL: -233.65].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 143/5000][train LL: -237.11; val LL: -233.53].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 144/5000][train LL: -236.60; val LL: -233.33].....[train forward+backward+step 5.35; val forward 0.22]
