epoch,train_ll,val_ll,train_s,val_s
119,-29.8571,-34.2092,0.35,0.01
120,-29.8598,-34.1867,0.35,0.01
121,-29.8588,-34.1648,0.40,0.02
122,-29.7935,-34.1897,0.57,0.03
123,-29.8078,-34.2162,0.41,0.02
124,-29.7349,-34.1873,0.34,0.01
125,-29.7308,-34.2132,0.34,0.01
126,-29.7700,-34.2082,0.34,0.01
127,-29.6903,-34.2245,0.34,0.01
128,-29.6681,-34.2127,0.34,0.01
129,-29.6573,-34.1597,0.34,0.01
130,-29.6072,-34.1163,0.40,0.02
131,-29.5933,-34.1251,0.58,0.02
132,-29.6029,-34.1320,0.42,0.02
133,-29.5286,-34.0916,0.35,0.01
134,-29.5722,-34.0773,0.42,0.02
135,-29.4738,-34.0741,0.57,0.03
136,-29.4999,-34.0498,0.60,0.01
137,-29.4607,-33.9926,0.54,0.02
138,-29.3859,-33.9702,0.49,0.02
139,-29.3366,-33.9509,0.45,0.02
140,-29.3391,-33.9413,0.38,0.01
141,-29.2998,-33.9626,0.49,0.02
142,-29.2903,-33.9183,0.34,0.01
143,-29.2801,-33.9162,0.34,0.01
144,-29.2439,-33.8983,0.34,0.01
145,-29.2472,-33.8971,0.41,0.02
146,-29.2410,-33.8888,0.36,0.01
147,-29.2116,-33.8518,0.39,0.02
148,-29.1993,-33.8619,0.49,0.01
149,-29.2134,-33.8207,0.34,0.01
150,-29.1474,-33.8395,0.34,0.01
151,-29.1272,-33.8332,0.34,0.01
152,-29.1049,-33.8453,0.34,0.01
153,-29.0877,-33.8250,0.34,0.01
154,-29.0803,-33.8387,0.34,0.01
155,-29.0515,-33.8380,0.34,0.01
156,-29.0230,-33.8510,0.34,0.01
157,-28.9877,-33.8233,0.34,0.01
158,-28.9939,-33.8470,0.34,0.01
159,-28.9798,-33.8066,0.34,0.01
160,-28.9972,-33.8493,0.34,0.01
161,-28.9565,-33.7872,0.34,0.01
162,-28.9327,-33.7882,0.34,0.01
163,-28.9205,-33.7865,0.34,0.01
164,-28.9180,-33.7689,0.42,0.02
165,-28.9010,-33.7591,0.45,0.02
166,-28.8605,-33.7527,0.47,0.02
167,-28.8333,-33.7615,0.38,0.01
168,-28.8385,-33.7374,0.36,0.01
169,-28.7975,-33.7536,0.56,0.01
170,-28.7676,-33.7280,0.34,0.01
171,-28.7617,-33.7038,0.38,0.02
172,-28.7714,-33.6991,0.42,0.02
173,-28.7726,-33.6928,0.58,0.03
174,-28.6991,-33.6632,0.58,0.03
175,-28.6953,-33.6443,0.50,0.02
176,-28.6728,-33.6326,0.46,0.02
177,-28.6678,-33.6233,0.61,0.03
178,-28.6676,-33.6342,0.60,0.03
179,-28.6129,-33.6263,0.42,0.02
180,-28.6366,-33.6045,0.35,0.01
181,-28.6102,-33.6107,0.52,0.02
182,-28.5843,-33.5885,0.35,0.01
183,-28.5478,-33.5814,0.44,0.02
184,-28.5305,-33.5560,0.58,0.03
185,-28.5161,-33.5592,0.60,0.03
186,-28.5241,-33.5682,0.49,0.02
187,-28.5076,-33.5840,0.34,0.01
188,-28.4740,-33.5580,0.34,0.01
189,-28.4867,-33.5642,0.34,0.01
190,-28.4792,-33.5503,0.34,0.01
191,-28.4743,-33.5585,0.43,0.01
192,-28.4590,-33.5198,0.35,0.01
193,-28.4075,-33.4927,0.47,0.02
194,-28.3666,-33.5041,0.58,0.03
195,-28.3956,-33.5140,0.47,0.02
196,-28.3958,-33.4946,0.34,0.01
197,-28.3415,-33.5272,0.34,0.01
198,-28.3455,-33.5269,0.34,0.01
199,-28.3394,-33.4975,0.34,0.01
200,-28.3330,-33.5481,0.34,0.01
